zip,city,district
3379,Egerfarmos,
3381,Pély,
3382,Tarnaszentmiklós,
3383,Hevesvezekény,
3384,Kisköre,
3385,Tiszanána,
3386,Sarud,
3387,Újlőrincfalva,
3388,Poroszló,
3390,Füzesabony ,
3394,Egerszalók,
3395,Demjén,
3396,Kerecsend,
3397,Maklár,
3398,Nagytálya,
3399,Andornaktálya,
3400,Mezőkövesd,
3411,Szomolya,
3412,Bogács,
3413,Cserépfalu,
3414,Bükkzsérc,
3416,Tard,
3417,Cserépváralja,
3418,Szentistván,
3421,Mezőnyárád,
3422,Bükkábrány,
3423,Tibolddaróc,
3424,Kács,
3425,Sály,
3426,Borsodgeszt,
3431,Vatta,
3432,Emőd,
3433,Nyékládháza ,
3434,Mályi,
3441,Mezőkeresztes ,
3442,Csincse,
3443,Mezőnagymihály,
3444,Gelej,
3450,Mezőcsát,
3458,Tiszakeszi,
3459,Igrici,
3461,Egerlövő,
3462,Borsodivánka,
3463,Négyes,
3464,Tiszavalk,
3465,Tiszabábolna,
3466,Tiszadorogma,
3467,Ároktő,
3500,Miskolc*,
3551,Ónod,
3552,Muhi,
3553,Kistokaj,
3554,Bükkaranyos,
3555,Harsány,
3556,Kisgyőr,
3557,Bükkszentkereszt,
3559,Répáshuta,
3561,Felsőzsolca,
3562,Onga,
3563,Hernádkak,
3564,Hernádnémeti,
3565,Tiszalúc,
3571,Alsózsolca,
3572,Sajólád,
3573,Sajópetri,
3574,Bőcs,
3575,Berzék,
3576,Sajóhídvég,
3577,Köröm,
3578,Girincs,
3578,Kiscsécs,
3579,Kesznyéten,
3580,Tiszaújváros,
3586,Sajóörös,
3587,Tiszapalkonya,
3588,Hejőkürt,
3589,Tiszatarján,
3591,Oszlár,
3592,Nemesbikk,
3593,Hejőbába,
3594,Hejőpapi,
3595,Hejőszalonta,
3596,Szakáld,
3597,Hejőkeresztúr,
3598,Nagycsécs,
3599,Sajószöged,
3600,Ózd,
3603,Ózd,Sajóvárkony
3604,Ózd,Bánszállás
3608,Farkaslyuk,
3621,Ózd,Uraj
3622,Uppony,
3623,Borsodszentgyörgy,
3625,Ózd,Szentsimon
3626,Hangony,
3627,Domaháza,
3627,Kissikátor,
3630,Putnok,
3635,Dubicsány,
3636,Vadna,
3636,Sajógalgóc,
3641,Nagybarca,
3642,Bánhorváti,
3643,Dédestapolcsány,
3644,Tardona,
3645,Mályinka,
3646,Nekézseny,
3647,Csokvaomány,
3648,Csernely,
3648,Bükkmogyorósd,
3648,Lénárddaróc,
3651,Ózd,Center
3652,Sajónémeti,
3653,Sajópüspöki,
3654,Bánréve,
3655,Hét,
3656,Sajóvelezd,
3656,Sajómercse,
3657,Királd,
3658,Borsodbóta,
3659,Sáta,
3661,Ózd,Hódoscsépány
3662,Ózd,Somsálybánya
3663,Arló,
3664,Járdánháza,
3671,Borsodnádasd ,
3672,Borsodnádasd ,Lemezgyár
3700,Kazincbarcika, 
3704,Berente,
3711,Szirmabesenyő,
3712,Sajóvámos,
3712,Sajósenye,
3713,Arnót,
3714,Sajópálfala,
3715,Gesztely,
3716,Újcsanálos,
3716,Sóstófalva,
3717,Alsódobsza,
3718,Megyaszó,
3720,Sajókaza,
3720,Sajóivánka,
3721,Felsőnyárád,
3721,Dövény,
3721,Jákfalva,
3722,Felsőkelecsény,
3723,Zubogy,
3724,Ragály,
3724,Trizs,
3725,Imola,
3726,Zádorfalva,
3726,Alsószuha,
3726,Szuhafő,
3728,Kelemér,
3728,Gömörszőlős,
3729,Serényfalva,
3731,Szuhakálló,
3732,Kurityán,
3733,Rudabánya,
3734,Szuhogy,
3735,Felsőtelekes,
3735,Alsótelekes,
3735,Kánó,
3741,Izsófalva,
3742,Rudolftelep,
3743,Ormosbánya,
3744,Múcsony,
3751,Szendrőlád,
3752,Szendrő,
3752,Galvács,
3753,Abod,
3754,Szalonna,
3754,Meszes,
3755,Martonyi,
3756,Perkupa,
3756,Varbóc,
3757,Szőlősardó,
3757,Égerszög,
3757,Teresztenye,
3758,Jósvafő,
3759,Aggtelek,
3761,Szin,
3761,Szinpetri,
3761,Tornakápolna,
3762,Szögliget,
3763,Bódvaszilas,
3764,Bódvarákó,
3765,Komjáti,
3765,Tornabarakony,
3765,Tornaszentandrás,
3767,Tornanádaska,
3768,Hidvégardó,
3768,Becskeháza,
3768,Bódvalenke,
3769,Tornaszentjakab,
3770,Sajószentpéter,
3773,Sajókápolna,
3773,Sajólászlófalva,
3775,Kondó,
3776,Radostyán,
3777,Parasznya,
3778,Varbó,
3779,Alacska,
3780,Edelény ,
3780,Balajt,
3780,Damak,
3780,Ládbesenyő,
3783,Edelény ,Finke
3786,Lak,
3786,Hegymeg,
3786,Irota,
3786,Szakácsi,
3787,Tomor,
3791,Sajókeresztúr,
3792,Sajóbábony,
3793,Sajóecseg,
3794,Boldva,
3794,Ziliz,
3795,Hangács,
3795,Nyomár,
3796,Borsodszirák,
3800,Szikszó,
3809,Selyeb,
3809,Abaújszolnok,
3809,Nyésta,
3811,Alsóvadász,
3812,Homrogd,
3812,Monaj,
3813,Kupa,
3814,Felsővadász,
3815,Gadna,
3815,Abaújlak,
3816,Gagyvendégi,
3817,Gagybátor,
3821,Krasznokvajda,
3821,Büttös,
3821,Kány,
3821,Keresztéte,
3821,Pamlény,
3821,Perecse,
3821,Szászfa,
3825,Rakaca,
3825,Debréte,
3825,Viszló,
3826,Rakacaszend,
3831,Kázsmárk,
3832,Léh,
3833,Rásonysápberencs,
3834,Detek,
3834,Beret,
3836,Baktakék,
3837,Felsőgagy,
3837,Alsógagy,
3837,Csenyéte,
3837,Gagyapáti,
3841,Aszaló,
3842,Halmaj,
3843,Kiskinizs,
3844,Nagykinizs,
3844,Szentistvánbaksa,
3846,Hernádkércs,
3847,Felsődobsza,
3848,Csobád,
3849,Forró,
3851,Ináncs,
3852,Hernádszentandrás,
3853,Pere,
3853,Hernádbűd,
3854,Gibárt,
3855,Fancsal,
3860,Encs,
3863,Szalaszend,
3864,Fulókércs,
3865,Fáj,
3866,Szemere,
3866,Litka,
3871,Méra,
3872,Novajidrány,
3873,Garadna,
3874,Hernádvécse,
3874,Hernádpetri,
3874,Pusztaradvány,
3875,Hernádszurdok,
3876,Hidasnémeti,
3877,Tornyosnémeti,
3881,Abaújszántó,
3881,Baskó,
3881,Sima,
3882,Abaújkér,
3882,Abaújalpár,
3884,Boldogkőújfalu,
3885,Boldogkőváralja,
3885,Arka,
3886,Korlát,
3887,Hernádcéce,
3888,Vizsoly,
3891,Vilmány,
3892,Hejce,
3893,Fony,
3893,Mogyoróska,
3893,Regéc,
3894,Göncruszka,
3895,Gönc,
3896,Telkibánya,
3897,Zsujta,
3898,Abaújvár,
3898,Pányok,
3899,Kéked,
3900,Szerencs,
3902,Szerencs,Ond
3903,Bekecs,
3904,Legyesbénye,
3905,Monok,
3906,Golop,
3907,Tállya,
3908,Rátka,
3909,Mád,
3910,Tokaj,
3915,Tarcal,
3916,Bodrogkeresztúr,
3917,Bodrogkisfalud,
3918,Szegi,
3918,Szegilong,
3921,Taktaszada,
3922,Taktaharkány,
3923,Gesztely,Újharangod
3924,Taktakenéz,
3925,Prügy,
3926,Taktabáj,
3927,Csobaj,
3928,Tiszatardos,
3929,Tiszaladány,
3931,Mezőzombor,
3932,Erdőbénye,
3933,Olaszliszka,
3934,Tolcsva,
3935,Erdőhorváti,
3936,Háromhuta,
3937,Komlóska,
3941,Vámosújfalu,
3942,Sárazsadány,
3943,Bodrogolaszi,
3944,Sátoraljaújhely,Károlyfalva
3945,Sátoraljaújhely,Rudabányácska
3950,Sárospatak,
3954,Györgytarló,
3955,Kenézlő,
3956,Viss,
3957,Zalkod,
3958,Hercegkút,
3959,Makkoshotyka,
3961,Vajdácska,
3962,Karos,
3963,Karcsa,
3964,Pácin,
3965,Nagyrozvágy,
3965,Kisrozvágy,
3967,Lácacséke,
3971,Tiszakarád,
3972,Tiszacsermely,
3973,Cigánd,
3974,Ricse,
3974,Semjén,
3976,Révleányvár,
3977,Zemplénagárd,
3978,Dámóc,
3980,Sátoraljaújhely,
3985,Alsóberecki,
3985,Felsőberecki,
3987,Bodroghalom,
3988,Sátoraljaújhely,Széphalom
3989,Mikóháza,
3989,Alsóregmec,
3989,Felsőregmec,
3991,Vilyvitány,
3992,Kovácsvágás,
3992,Vágáshuta,
3993,Füzérradvány,
3994,Pálháza,
3994,Bózsva,
3994,Filkeháza,
3994,Füzérkajata,
3994,Kishuta,
3994,Nagyhuta,
3995,Pusztafalu,
3996,Füzér,
3997,Füzérkomlós,
3998,Nyíri,
3999,Hollóháza,
4000,Debrecen*, 
4060,Balmazújváros,
4064,Nagyhegyes,
4065,Újszentmargita,
4066,Tiszacsege,
4067,Egyek,Telekháza
4069,Egyek,
4071,Hortobágy,
4074,Hajdúböszörmény,Nagypród
4075,Görbeháza,
4080,Hajdúnánás, 
4085,Hajdúnánás,Tedej
4086,Hajdúböszörmény,Hajdúvid
4087,Hajdúdorog,
4090,Polgár,
4095,Folyás,
4096,Újtikos,
4097,Tiszagyulaháza,
4100,Berettyóújfalu,
4110,Biharkeresztes,
4114,Bojt,
4115,Ártánd ,
4116,Berekböszörmény,
4117,Told ,
4118,Mezőpeterd,
4119,Váncsod,
4121,Szentpéterszeg,
4122,Gáborján,
4123,Hencida,
4124,Esztár,
4125,Pocsaj,
4126,Kismarja,
4127,Nagykereki,
4128,Bedő,
4130,Derecske, 
4132,Tépe,
4133,Konyár,
4134,Mezősas,
4135,Körösszegapáti,
4136,Körösszakál,
4137,Magyarhomorog,
4138,Komádi,
4141,Furta,
4142,Zsáka,
4143,Vekerd,
4144,Darvas,
4145,Csökmő,
4146,Újiráz,
4150,Püspökladány,
4161,Báránd,
4162,Szerep,Hosszúhát
4163,Szerep,
4164,Bakonszeg,
4171,Sárrétudvari,
4172,Biharnagybajom,
4173,Nagyrábé,
4174,Bihartorda,
4175,Bihardancsháza,
4176,Sáp,
4177,Földes,
4181,Nádudvar,
4183,Kaba,
4184,Tetétlen,
4200,Hajdúszoboszló,
4211,Ebes,
4212,Hajdúszovát,
4220,Hajdúböszörmény, 
4224,Hajdúböszörmény,Bodaszőlő
4231,Bököny,
4232,Geszteréd,
4233,Balkány,
4234,Szakoly,
4235,Biri,
4241,Bocskaikert,
4242,Hajdúhadház,
4243,Téglás,
4244,Újfehértó,
4245,Érpatak,
4246,Nyíregyháza,Butykatelep
4251,Hajdúsámson,
4252,Nyíradony,Tamásipuszta
4253,Nyíradony,Aradványpuszta
4254,Nyíradony,
4262,Nyíracsád,
4263,Nyírmártonfalva,
4264,Nyírábrány,
4266,Fülöp,
4267,Penészlek,
4271,Mikepércs,
4272,Sáránd,
4273,Hajdúbagos,
4274,Hosszúpályi,
4275,Monostorpályi,
4281,Létavértes ,Nagyléta
4283,Létavértes ,Vértes
4284,Kokad,
4285,Álmosd,
4286,Bagamér,
4287,Vámospércs,
4288,Újléta,
4300,Nyírbátor,
4311,Nyírgyulaj,
4320,Nagykálló,
4324,Kállósemjén,
4325,Kisléta,
4326,Máriapócs,
4327,Pócspetri,
4331,Nyírcsászári,
4332,Nyírderzs,
4333,Nyírkáta,
4334,Hodász,
4335,Kántorjánosi,
4336,Őr,
4337,Jármi,
4338,Papos ,
4341,Nyírvasvári,
4342,Terem,
4343,Bátorliget,
4351,Vállaj,
4352,Mérk,
4353,Tiborszállás,
4354,Fábiánháza,
4355,Nagyecsed,
4356,Nyírcsaholy,
4361,Nyírbogát,
4362,Nyírgelse,
4363,Nyírmihálydi,
4371,Nyírlugos,
4372,Nyírbéltek,
4373,Ömböly,
4374,Encsencs,
4375,Piricse,
4376,Nyírpilis,
4400,Nyíregyháza, 
4405,Nyíregyháza,Borbánya
4431,Nyíregyháza,Sóstófürdő
4432,Nyíregyháza,Nyírszőlős
4433,Nyíregyháza,Felsősima
4434,Kálmánháza,
4440,Tiszavasvári,
4441,Szorgalmatos,
4445,Nagycserkesz,
4446,Tiszaeszlár,Bashalom
4447,Tiszalök,Kisfástanya
4450,Tiszalök,
4455,Tiszadada,
4456,Tiszadob,
4461,Nyírtelek,
4463,Tiszanagyfalu,
4464,Tiszaeszlár    ,
4465,Rakamaz,
4466,Timár,
4467,Szabolcs,
4468,Balsa,
4471,Gávavencsellő   ,Gáva
4472,Gávavencsellő   ,Vencsellő
4474,Tiszabercel,
4475,Paszab,
4481,Nyíregyháza,Sóstóhegy
4482,Kótaj,
4483,Buj,
4484,Ibrány,
4485,Nagyhalász,
4486,Tiszatelek,Kétérköz
4487,Tiszatelek,
4488,Beszterec,
4491,Újdombrád,
4492,Dombrád,
4493,Tiszakanyár,
4494,Kékcse,
4495,Döge,
4496,Szabolcsveresmart,
4501,Kemecse,
4502,Vasmegyer,
4503,Tiszarád,
4511,Nyírbogdány ,
4515,Kék,
4516,Demecser,
4517,Gégény,
4521,Berkesz ,
4522,Nyírtass,
4523,Pátroha,
4524,Ajak,
4525,Rétközberencs,
4531,Nyírpazony,
4532,Nyírtura,
4533,Sényő,
4534,Székely,
4535,Nyíribrony,
4536,Ramocsaháza,
4537,Nyírkércs,
4541,Nyírjákó,
4542,Petneháza,
4543,Laskod,
4544,Nyírkarász,
4545,Gyulaháza,
4546,Anarcs,
4547,Szabolcsbáka,
4551,Nyíregyháza,Oros
4552,Napkor,
4553,Apagy,
4554,Nyírtét,
4555,Levelek,
4556,Magy,
4557,Besenyőd,
4558,Ófehértó,
4561,Baktalórántháza,
4562,Vaja,
4563,Rohod,
4564,Nyírmada,
4565,Pusztadobos,
4566,Ilk,
4567,Gemzse,
4600,Kisvárda,
4611,Jéke,
4621,Fényeslitke,
4622,Komoró,
4623,Tuzsér,
4624,Tiszabezdéd,
4625,Záhony,
4625,Győröcske,
4627,Zsurk,
4628,Tiszaszentmárton,
4631,Pap,
4632,Nyírlövő,
4633,Lövőpetri,
4634,Aranyosapáti,
4635,Újkenéz,
4641,Mezőladány,
4642,Tornyospálca,
4643,Benk,
4644,Mándok,
4645,Tiszamogyorós,
4646,Eperjeske,
4700,Mátészalka,
4721,Szamoskér,
4722,Nyírmeggyes,
4731,Tunyogmatolcs,
4732,Cégénydányád,
4733,Gyügye,
4734,Szamosújlak,
4735,Szamossályi,
4735,Hermánszeg,
4737,Kisnamény,
4737,Darnó,
4741,Jánkmajtis,
4742,Csegöld,
4743,Csengersima,
4745,Szamosbecs,
4746,Szamostatárfalva,
4751,Kocsord,
4752,Győrtelek,
4754,Géberjén,
4754,Fülpösdaróc,
4755,Ököritófülpös,
4756,Rápolt,
4761,Porcsalma,
4762,Tyukod,
4763,Ura,
4764,Csengerújfalu,
4765,Csenger,
4765,Komlódtótfalu,
4766,Pátyod,
4767,Szamosangyalos,
4800,Vásárosnamény,
4803,Vásárosnamény,Gergelyiugornya
4804,Vásárosnamény,Vitka
4811,Kisvarsány,
4812,Nagyvarsány,
